favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
79947,Twitter for iPhone,"Our Country was built on Tariffs, and Tariffs are now leading us to great new Trade Deals - as opposed to the horri… https://t.co/tnCxly8rCA",,False,Wed Aug 15 15:04:16 +0000 2018,19109,1029745594540150784
72845,Twitter for iPhone,#JobsNotMobs! https://t.co/U1suRW5j6G,,False,Fri Oct 19 18:41:29 +0000 2018,20871,1053355470449127424
123747,Twitter for iPhone,"“WE’RE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT GREAT.” Can you believe this is the Governor of the… https://t.co/DZKWvvQ6t6",,False,Thu Aug 16 02:02:16 +0000 2018,33070,1029911186949767168
42154,Twitter for iPhone,https://t.co/LdXQb42Imc,,False,Thu Sep 20 23:57:13 +0000 2018,12349,1042925680109924352
93804,Twitter for iPhone,The Democrats do not want to help DACA. Would be so easy to make a deal!,,False,Tue Mar 20 00:28:45 +0000 2018,20234,975891861863829504
105378,Twitter for iPhone,"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD N… https://t.co/XtmYEpRDAu",,False,Thu Jan 18 01:05:46 +0000 2018,20455,953795518592843777
36645,Twitter for iPhone,#VFWConvention @VFWHQ https://t.co/dBQx526axz,,False,Tue Jul 24 17:51:28 +0000 2018,7848,1021815138469457920
115883,Twitter for iPhone,This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown,,False,Sat Jan 20 11:33:35 +0000 2018,27538,954678287820902401
83642,Twitter for iPhone,"“John Brennan, no single figure in American history has done more to discredit the intelligence community than this… https://t.co/DETDPIYoeT",,False,Sat Jun 02 12:06:47 +0000 2018,22351,1002884227753480193
86525,Twitter for iPhone,"“I can die happy now with Trump Job performance,” stated Mary Matalin. “A great overall President, stunning!” Thank you Mary.",,False,Sun Apr 22 14:06:06 +0000 2018,15689,988056354567917568
156440,Twitter for iPhone,Just out: 3.7% Unemployment is the lowest number since 1969!,,False,Fri Oct 05 13:06:08 +0000 2018,36322,1048197648807854080
141345,Twitter for iPhone,"The Fake News Awards, those going to the most corrupt &amp; biased of the Mainstream Media, will be presented to the lo… https://t.co/MFPjW1foo3",,False,Sun Jan 07 20:35:39 +0000 2018,33899,950103659337134080
53046,Twitter for iPhone,"We are with you Florida! https://t.co/qzrVLeFbyF
https://t.co/HVVhSmBg7S https://t.co/rcB6OCwLeH",,False,Wed Oct 10 16:05:55 +0000 2018,11759,1050054830843199490
100766,Twitter for iPhone,"Our relationship with Russia has NEVER been worse thanks to many years of U.S. foolishness and stupidity and now, the Rigged Witch Hunt!",,False,Mon Jul 16 06:05:29 +0000 2018,22096,1018738368753078273
73335,Twitter for iPhone,House Intelligence Committee votes to release final report. FINDINGS: (1) No evidence provided of Collusion between… https://t.co/TDzrvtLstr,,False,Fri Mar 23 10:07:18 +0000 2018,19397,977124622285066240
89066,Twitter for iPhone,Great Republican election results last night. So far we have the team we want. 8 for 9 in Special Elections. Red Wave!,,False,Wed Aug 15 12:30:38 +0000 2018,18457,1029706933706661889
80527,Twitter for iPhone,"President Xi of China, and I, are working together to give massive Chinese phone company, ZTE, a way to get back in… https://t.co/E24lCZ6ZQz",,False,Sun May 13 15:01:00 +0000 2018,16292,995680316458262533
110211,Twitter for iPhone,The Republican Party is starting to show very big numbers. People are starting to see what is being done. Results a… https://t.co/oMHiPSxK12,,False,Thu Jun 14 12:34:25 +0000 2018,22484,1007239837529800705
114670,Twitter for iPhone,"The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N",,False,Tue Feb 20 02:29:29 +0000 2018,23423,965775382598311937
146537,Twitter for iPhone,Will be giving a Full Pardon to Dinesh D’Souza today. He was treated very unfairly by our government!,,False,Thu May 31 13:18:35 +0000 2018,34437,1002177521599860736
85705,Twitter for iPhone,WELCOME HOME JOSH! https://t.co/2X0cKE4stx,,False,Sun May 27 01:49:54 +0000 2018,21672,1000554657859670016
76169,Twitter for iPhone,Why aren’t the 13 Angry and heavily conflicted Democrats investigating the totally Crooked Campaign of totally Croo… https://t.co/DTGUPCtveI,,False,Tue May 29 11:09:32 +0000 2018,17467,1001420270094168064
158940,Twitter for iPhone,"Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement, along with @NASA’s c… https://t.co/MaQocjQKcI",,False,Wed Feb 07 03:05:45 +0000 2018,29016,961073467784421382
95695,Twitter for iPhone,"Prior to departing Wisconsin, I was briefed on the shooting at Capital Gazette in Annapolis, Maryland. My thoughts… https://t.co/DUhjdWWxBP",,False,Thu Jun 28 20:49:55 +0000 2018,17343,1012437964373123072
46734,Twitter for iPhone,Thank you to Congressman Tom Reed of New York for your wonderful comments on our great new Trade Deal with Mexico a… https://t.co/tuwwT7t11a,,False,Wed Oct 03 14:02:10 +0000 2018,9602,1047486972976095233
77769,Twitter for iPhone,"The HISTORIC Rescissions Package we’ve proposed would cut $15,000,000,000 in Wasteful Spending! We are getting our government back on track.",,False,Tue Jun 05 20:06:27 +0000 2018,17666,1004092104488947719
47514,Twitter for iPhone,Jeff Johnson of Minnesota had a big night in winning the Republican nomination for Governor against a very strong a… https://t.co/4sRK3Q339u,,False,Wed Aug 15 13:12:48 +0000 2018,10014,1029717542842052608
88332,Twitter for iPhone,"I am thrilled to announce that in the second quarter of this year, the U.S. Economy grew at the amazing rate of 4.1… https://t.co/cLRtLfjBnU",,False,Fri Jul 27 16:12:14 +0000 2018,20996,1022877332858650624
61600,Twitter for iPhone,Great day in North Carolina where Republicans will do very well!,,False,Sat Sep 01 02:36:57 +0000 2018,11182,1035718119459893250
153319,Twitter for iPhone,"So proud of our great Military which will soon be, after the spending of billions of fully approved dollars, the fi… https://t.co/kZ5qqY35s1",,False,Sat Apr 14 12:29:48 +0000 2018,28218,985133017256660995
66758,Twitter for iPhone,"“To this point, President Trump’s achievements are unprecedented.”  @LouDobbs",,False,Sat Sep 08 14:47:08 +0000 2018,14855,1038438594543845378
115685,Twitter for iPhone,"As I made very clear today, our country needs the security of the Wall on the Southern Border, which must be part of any DACA approval.",,False,Wed Jan 10 00:16:57 +0000 2018,22175,950884128379035650
73039,Twitter for iPhone,Mexico is making a fortune on NAFTA...They have very strong border laws - ours are pathetic. With all of the money… https://t.co/I8q69xZXwF,,False,Mon Apr 02 13:08:47 +0000 2018,17977,980794173279342592
81892,Twitter for iPhone,Many @harleydavidson owners plan to boycott the company if manufacturing moves overseas. Great! Most other companie… https://t.co/zd8aJznyQW,,False,Sun Aug 12 12:57:39 +0000 2018,17481,1028626569475051522
85610,Twitter for iPhone,"Wow, Nellie Ohr, Bruce Ohr’s wife, is a Russia expert who is fluent in Russian. She worked for Fusion GPS where she… https://t.co/rTaCZtOQaC",,False,Thu Aug 30 12:54:13 +0000 2018,25460,1035148684432953346
86239,Twitter for iPhone,Congratulations to newly inaugurated Mexican President @lopezobrador_. He had a tremendous political victory with t… https://t.co/UVwbELyLsW,,False,Mon Dec 03 19:42:31 +0000 2018,18325,1069678284580012032
97589,Twitter for iPhone,“There has been no evidence whatsoever that Donald Trump or the campaign was involved in any kind of collusion to f… https://t.co/bKtcI3tXBv,,False,Thu Aug 09 13:22:39 +0000 2018,25107,1027545694201159680
114516,Twitter for iPhone,"The Fake News is working overtime. Just reported that, despite the tremendous success we are having with the econom… https://t.co/loypJ75j0b",,False,Wed May 09 11:38:45 +0000 2018,25876,994179864436596736
49279,Twitter for iPhone,.@Troy_Balderson is doing a great job as Congressman from Ohio. We need him in D.C. Vote for Troy - He has my total Endorsement!,,False,Tue Oct 30 02:11:37 +0000 2018,13153,1057092628951502849
129442,Twitter for iPhone,AUSTIN BOMBING SUSPECT IS DEAD. Great job by law enforcement and all concerned!,,False,Wed Mar 21 10:28:16 +0000 2018,24270,976405122757558272
47291,Twitter for iPhone,I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!,,False,Sun Feb 25 01:00:46 +0000 2018,7895,967564998238142471
64620,Twitter for iPhone,"...has endured because of the sweat, blood and sacrifice of the American Armed Forces – the greatest force for peac… https://t.co/BQ4LBX8A59",realDonaldTrump,False,Tue Jul 03 23:52:08 +0000 2018,12229,1014295759393644545
